listing_id,review_id,date,reviewer_name,comments,listing_name,host_id,host_name
1078,142,9/13/2009,Amy,"A fabulously cozy place!  It was slightly difficult to find in the dark since it's tucked behind a fence and foliage, but a great place over all.  We weren't able to take advantage of the full kitchen, but it was nice to have as an option.  
Thanks!!  Would definitely recommend this place to others.",Craftsman 1920 Apt: Hyde Park/UT,4635658,Tracy
5456,865,3/8/2009,Ellen,"Sylvia is a hostess who is gracious and helpful beyond words! First of all, she wanted to know about our plans and answered all of the questions we had about the city via email before we arrived. She picked us up from the airport and had a handful of maps and magazines about Austin. Her guest house is spotless, adorably decorated, and complete from soap to movies. The neighborhood is charming, and walking distance to cool spots. (We lucked out because her schedule allowed her to show us around the city.) 5 Texas stars!",Walk to 6th St and Convention Ctr,8028,Sylvia
2265,963,3/17/2009,Niall,I stayed here during SXSW and had a really pleasant stay.  The house is a very relaxing environment and Paddy is both a friendly and professional host. ,Zen-East in the Heart of Austin,2466,Paddy
5245,973,3/19/2009,Evonne,"Very nice, took me to the co-op healthy grocery and gave rides when possible. Has a sweet little dog and a lovely home to share.","Green, colorful, clean & cozy home",2466,Paddy
5456,977,3/19/2009,Phil,Highly recommended. Sylvia was extremely helpful and friendly and made our holiday as easy as it could be. The apartment was wonderfully quiet but also only a few minutes' walk to Austin Convention Center.,Walk to 6th St and Convention Ctr,8028,Sylvia
2265,1057,3/22/2009,Michael,"Great place, close enough to everything downtown Austin has, yet just far enough to be relaxing and quiet.  An excellent place to regroup and recharge.  Paddy respected my privacy and different hours.  The place is clean and hip - I would stay with Paddy again.  You must be okay with dogs. ",Zen-East in the Heart of Austin,2466,Paddy
5456,1039,3/22/2009,Galen,A great place to stay in a great city. Sylvia picked me up at the airport and drove me to Whole Foods so I could buy groceries. She also took me to my first Texas bar-b-que. I saved a ton of money because I didn't have to cab downtown; I could easily walk. The apartment is clean and the bed very comfortable. This place is a lot better than a hotel. ,Walk to 6th St and Convention Ctr,8028,Sylvia
5456,1347,4/8/2009,April,"Highly recommended! 
Cute and cozy guest house !

Thanks Sylvia!!",Walk to 6th St and Convention Ctr,8028,Sylvia
5456,1491,4/13/2009,Ivonne,"What a great little apartment!  It was clean, in a good location and had everything I needed.  It was nice not having to spend money on eating out so much b/c there's a refrigerator, microwave, coffeemaker and toaster.  Sylvia was extremely kind and very generous - offering to pick us up from the airport.  I really enjoyed my stay and recommend Sylvia's place highly!",Walk to 6th St and Convention Ctr,8028,Sylvia
5456,1535,4/16/2009,Egan.Sturges.Regan,"Sylvia was great; ""ditto"" to all the previous review. She is gracious and generous, with plenty of suggestions of activities, and let my daughter garden with her. The place is clean, quaint, and simple. If we visit Austin again, we'll certainly see if Sylvia's place is available! ",Walk to 6th St and Convention Ctr,8028,Sylvia
5456,1663,4/20/2009,Lizzie,"Sylvia and her cute apartment we absolutely wonderful!  She was the perfect host -accommodating and helpful without being the least bit intrusive.   The place was cozy and clean and the perfect size for two of us with room to spare.  The location was perfect, accessible to downtown on foot (we also rented bikes and could get everywhere we wanted easily).  We'll definitely come back, and recommend the place to anyone!",Walk to 6th St and Convention Ctr,8028,Sylvia
5456,1785,4/26/2009,Kristen,"Sylvia is the best! Her guest house was charming, clean, comfortable, and conveniently located. We loved her animals and her big heart. This lady loves Austin and wants others to experience it to the utmost. Silvia picked us up at the airport, showed us around the city a bit,  and accomodated us beyond the normal scope of hostess. I've already recommended her place to several of my friends. Hopefully, I too will be able to visit Austin and Sylvia again!",Walk to 6th St and Convention Ctr,8028,Sylvia
