listing_id,id,date,reviewer_name,comments,listing_name,host_id,host_name
166561,820744,1/1/2012,Joseph,Sovay's place was adorable extremely clean well stocked with basic toiletries and in a terrific location! We would recommend this location for anyone visiting Austin!,SOCO ItZ bitZ Bungalow ,347068,Sovay
244785,821400,1/1/2012,Jane,Absolutely charming guesthouse. Am so grateful to Belle and her family for their hospitality and am looking forward to staying there again.,Mid Week Special!!,1284548,Gwen & Richard
5456,821054,1/1/2012,Christine,"Well located and comfortable! 
We had a good experience.",Walk to 6th St and Convention Ctr,8028,Sylvia
252804,828306,1/2/2012,Brian,The house was great; it was clean well furnished and in a good location. ,» 3 bed sleeps 6 2 miles to DT,1327500,
219202,827426,1/2/2012,Emery,"This was our first trip to Austin and had high expectations for the city itself but we were blown away by Edie's place. Clean comfortable and filled with everything we needed. The location was ideal and although brief being her company was most enjoyable. We will definitely be returning and highly recommend the bungalow for your next visit too!
",Quiet Bungalow- short walk downtown,1134885,Edie
120230,825370,1/2/2012,Lesley,Lisa's condo was perfect!! I wanted a quieter place than downtown and I wanted to be running distance to Zilker park- it was perfect and There are tennis courts accross the street! Austin is an outdoor city so being near the park and near the river was exactly what I wanted. But even more importantlu Lisa was the PERFECT hostess!! I could not have asked for more. I ran off to buy half and half before I checked the fridge- she had already stocked up for us!! Juice wine flavored and regular half and half and tea and coffee! and great advice on bars- loved bar ilegal and clives!! Wish I could have met her but she was in Antigua poor thing. :-),Darling Condo Near Zilker Park,360967,Lisa
207054,825121,1/2/2012,Elizabeth,great house we loved our stay. ,2BR Stylish Mid-Century Town Lake,1018853,Merri Gale & Donald
276522,828066,1/2/2012,Savannah,Heather has a great condo! It's in a lovely neighborhood in Austin close to many awesome things and very nicely furnished! I'd definitely stay here again!,Chic Cozy Condo near Zilker Park,1407108,Heather
78974,828116,1/2/2012,Denise,My boyfriend and I needed a place to stay during New Year's Eve weekend.  Dan's private apartment was cozy quiet and relaxing!  It had all of the necessary things that we needed for our 2 day stay.  And Dan is such a wonderful host. He's warm and friendly and made us feel at home.  He gave us our privacy but also made himself available in case we needed anything.  He even stocked our fridge with a few snacks.  Our linens and towels smelled great!  The futon was comfortable and we slept so well.  Since it was chilly in Austin he had a heater and extra blankets for us just in case we needed them.  I forgot my sweater and jacket in the closet because we were in a rush to head out.  Dan called me right away to let me know.  He's a great guy! , 78704 Detached Garden  Cottage ,424835,Dan
79165,823042,1/2/2012,Alice,We had a wonderful stay in the Madeleine room very comfortable and Viviane and Michael were wonderful hosts friendly and helpful. The breakfasts cooked by Michael were fantastic our favorite being the sweet potato waffles with peaches and crushed pecans in warm syrup on top.  We will definitely stay there again the next time we are in Austin.  ,Madeleine Room - Central Austin,425988,Team CinnaMan
50310,827796,1/2/2012,Katherine,This was a nice comfortable private place to stay.  It was great having my own private bathroom.  I recommend this place to other travelers.  Sevylla was kind and welcoming.  ,Super Hip South Austin Studio,230553,Sevylla
72833,825588,1/2/2012,Breanna,Andy was very accommodating. Everything in the cottage was perfect. Very clean! The fridge was stocked with drinks and breakfast foods. He even left beers for us. I would definitely stay here again in the future. The area was perfect too. Walking distance to the best pancakes in town! ,Central Cottage with bikes!,378744,Andy & Ellen
174828,831707,1/3/2012,Arabella,Our group had an amazing experience at this property! It was a great place to stay for a larger group. We cooked a lot on site and we had everything we needed in the kitchen. The back porch was also a wonderful place for our entire group to hang out. Close to downtown too only a $15 cab ride. Thank you Jenny for your hospitality!,4bd/2ba Central Austin Retreat,835236,Jenny
296286,834418,1/3/2012,James,What a wonderful little apartment! It's like having a place of your own in Austin. It looks awesome comfortable beds a most impressive collection of sci-fi books. All in all you would have a good time. My girlfriend and I had a great time staying there during New Year's and we are booking with Andi again.,Charming Apartment-BEST LOCATION! A,11349,Alexandria
5456,829144,1/3/2012,Wendy,This is an awesome location for someone looking to experience downtown Austin; it's a fun guest home in a quaint neighborhood within walking distance of many of Austin's attractions.  We enjoyed our stay here and would definitely consider staying again!  The only complaint we would have is the size of the bed (it was a double) - my boyfriend is 6 foot  tall and was hanging off a bit but given the size of the room we can understand.  What a quaint bathtub! ,Walk to 6th St and Convention Ctr,8028,Sylvia
